name,course_type,institute_name,institute_tier,cgpa,cgpa_scale,year_of_grad,internship_count,internship_months,internship_employer_type,certifications,region,loan_amount,loan_emi,placed_3m,placed_6m,placed_12m,salary_lpa
Student_00000,Engineering,University 00,2,6.17,10.0,2026,0,0,,3,East,17.82,0.21,1,1,1,6.68
Student_00001,Engineering,College of 01,3,6.8,10.0,2024,1,5,MNC,2,South,8.78,0.11,0,1,1,
Student_00002,Engineering,State Engineering College 02,2,6.87,10.0,2025,4,12,NGO,4,West,12.73,0.15,1,1,1,5.48
Student_00003,Engineering,University 03,2,9.72,10.0,2024,2,6,Startup,5,East,17.56,0.21,1,1,1,4.45
Student_00004,Engineering,Institute of 04,3,6.25,10.0,2024,4,24,Startup,4,East,9.63,0.12,1,1,1,3.0
Student_00005,Engineering,IIT 05,1,5.86,10.0,2024,4,20,PSU,2,South,23.74,0.28,1,1,1,14.29
Student_00006,Engineering,College of 06,3,6.42,10.0,2025,0,0,,3,West,10.2,0.12,0,0,0,
Student_00007,MBA,IIT 07,1,5.8,10.0,2025,2,8,MNC,3,East,31.49,0.38,1,1,1,17.02
Student_00008,Engineering,University 08,2,7.37,10.0,2025,2,10,MNC,1,South,14.12,0.17,1,1,1,5.19
Student_00009,Engineering,State Engineering College 09,2,7.65,10.0,2025,1,4,MNC,3,West,14.98,0.18,0,0,1,
Student_00010,Engineering,University 10,2,6.0,10.0,2024,0,0,,2,South,12.87,0.15,0,0,1,
Student_00011,Engineering,University 11,2,8.87,10.0,2025,2,8,PSU,3,North,17.15,0.21,1,1,1,9.97
Student_00012,MCA,University 12,2,8.36,10.0,2024,1,2,PSU,4,Central,8.45,0.1,1,1,1,5.31
Student_00013,MBA,College of 13,3,7.07,10.0,2024,3,15,Startup,1,North,15.94,0.19,1,1,1,6.78
Student_00014,MCA,Academy of 14,3,8.6,10.0,2025,4,8,Startup,5,North,7.43,0.09,1,1,1,4.15
Student_00015,Engineering,Regional Institute 15,2,6.33,10.0,2025,4,20,Startup,2,South,17.44,0.21,0,1,1,
Student_00016,Engineering,State Engineering College 16,2,8.44,10.0,2026,3,12,Startup,3,North,16.49,0.2,1,1,1,9.19
